symbol,entry_time,exit_time,entry_price,exit_price,score,momentum_score,trend_score,pnl_pct,result,exit_reason
NVDA,2026-04-24 13:30:00+00:00,2026-04-24 14:30:00+00:00,203.1,203.39,87.75,90,85,0.14,WIN,max_hold
NVDA,2026-04-24 14:45:00+00:00,2026-04-24 15:45:00+00:00,206.97,209.17,87.75,90,85,1.06,WIN,max_hold
NVDA,2026-04-24 14:50:00+00:00,2026-04-24 15:50:00+00:00,206.95,209.12,87.75,90,85,1.05,WIN,max_hold
NVDA,2026-04-24 14:55:00+00:00,2026-04-24 15:55:00+00:00,208.69,209.13,87.75,90,85,0.21,WIN,max_hold
NVDA,2026-04-24 15:00:00+00:00,2026-04-24 16:00:00+00:00,208.54,209.17,87.75,90,85,0.3,WIN,max_hold
NVDA,2026-04-24 15:05:00+00:00,2026-04-24 16:05:00+00:00,209.23,208.54,87.75,90,85,-0.33,LOSS,max_hold
AMD,2026-04-22 13:40:00+00:00,2026-04-22 14:40:00+00:00,289.13,295.09,87.75,90,85,2.06,WIN,max_hold
AMD,2026-04-22 14:25:00+00:00,2026-04-22 15:25:00+00:00,295.18,297.85,87.75,90,85,0.9,WIN,max_hold
AMD,2026-04-22 14:30:00+00:00,2026-04-22 15:30:00+00:00,294.83,297.42,87.75,90,85,0.88,WIN,max_hold
AMD,2026-04-22 14:35:00+00:00,2026-04-22 15:35:00+00:00,294.88,297.39,87.75,90,85,0.85,WIN,max_hold
AMD,2026-04-24 13:35:00+00:00,2026-04-24 14:35:00+00:00,341.35,345.19,87.75,90,85,1.12,WIN,max_hold
AMD,2026-04-24 13:40:00+00:00,2026-04-24 14:40:00+00:00,344.3,344.22,87.75,90,85,-0.02,LOSS,max_hold
AMD,2026-04-24 13:45:00+00:00,2026-04-24 14:45:00+00:00,345.65,343.55,87.75,90,85,-0.61,LOSS,max_hold
AMD,2026-04-24 13:50:00+00:00,2026-04-24 14:50:00+00:00,340.75,343.83,87.75,90,85,0.9,WIN,max_hold
AMD,2026-04-29 14:30:00+00:00,2026-04-29 15:30:00+00:00,329.46,327.73,87.75,90,85,-0.53,LOSS,max_hold
AMD,2026-04-29 14:35:00+00:00,2026-04-29 15:35:00+00:00,330.88,327.25,87.75,90,85,-1.1,LOSS,max_hold
AMD,2026-04-29 14:40:00+00:00,2026-04-29 15:40:00+00:00,331.25,328.68,87.75,90,85,-0.78,LOSS,max_hold
AMD,2026-04-30 14:00:00+00:00,2026-04-30 14:35:00+00:00,344.08,338.21,87.75,90,85,-1.7,LOSS,stop_loss
AMD,2026-04-30 14:05:00+00:00,2026-04-30 14:35:00+00:00,345.16,338.21,87.75,90,85,-2.01,LOSS,stop_loss
AMD,2026-04-30 15:05:00+00:00,2026-04-30 16:05:00+00:00,347.99,347.43,87.75,90,85,-0.16,LOSS,max_hold
AMD,2026-04-30 15:10:00+00:00,2026-04-30 16:10:00+00:00,348.31,348.86,87.75,90,85,0.16,WIN,max_hold
TSLA,2026-04-24 13:45:00+00:00,2026-04-24 13:55:00+00:00,382.23,375.15,87.75,90,85,-1.85,LOSS,stop_loss
GOOGL,2026-04-30 13:30:00+00:00,2026-04-30 14:30:00+00:00,372.8,366.8,87.75,90,85,-1.61,LOSS,stop_loss
GOOGL,2026-04-30 13:35:00+00:00,2026-04-30 14:35:00+00:00,370.14,365.9,87.75,90,85,-1.15,LOSS,max_hold
GOOGL,2026-04-30 13:40:00+00:00,2026-04-30 14:40:00+00:00,370.27,368.04,87.75,90,85,-0.6,LOSS,max_hold
GOOGL,2026-04-30 13:45:00+00:00,2026-04-30 14:35:00+00:00,371.63,365.9,87.75,90,85,-1.54,LOSS,stop_loss
GOOGL,2026-04-30 13:50:00+00:00,2026-04-30 14:50:00+00:00,368.99,370.27,87.75,90,85,0.35,WIN,max_hold
GOOGL,2026-04-30 15:05:00+00:00,2026-04-30 16:05:00+00:00,375.56,374.65,87.75,90,85,-0.24,LOSS,max_hold
GOOGL,2026-04-30 15:10:00+00:00,2026-04-30 16:10:00+00:00,377.83,376.99,87.75,90,85,-0.22,LOSS,max_hold
GOOGL,2026-04-30 15:15:00+00:00,2026-04-30 16:15:00+00:00,377.16,377.98,87.75,90,85,0.22,WIN,max_hold
