timestamp,symbol,side,qty,price,reason,score,pnl,pnl_pct
2026-05-01T13:30:31.564683,NVDA,sell,70.004285918,201.05,fast_cut_loss_-4.30%,,-625.8383161069198,-0.04257345587885136
2026-05-01T17:34:22.331347,AMD,buy,28,360.29,buy order submitted,72.5,,
2026-05-05T13:59:01,U,sell,342.242897727,27.285,fast_cut_loss_-3.11%,,-299.462535511125,-0.03107244318181818,U-20260505T135901,,2026-05-05T13:59:01,,,fast_cut_loss_-3.11%,current_bot,current_bot,
2026-05-05T17:00:42,AMZN,sell,61.954933291,273.0,trailing stop,,935.2367923334934,0.05853109702444467,AMZN-20260505T170042,,2026-05-05T17:00:42,,,trailing stop,current_bot,current_bot,
2026-05-05T17:07:08,ORCL,buy,57,182.88,qualified candidate passed risk checks | symbol=ORCL | final_score=69.5 | base_score=69.5 | setup=current_bot | adaptive=adaptive neutral | trades=3,69.5,,,ORCL-20260505T170708,2026-05-05T17:07:08,,,qualified candidate passed risk checks | symbol=ORCL | final_score=69.5 | base_score=69.5 | setup=current_bot | adaptive=adaptive neutral | trades=3,,current_bot,current_bot,
2026-05-06T13:34:54,U,buy,370,27.05,qualified candidate passed risk checks | symbol=U | final_score=69.5 | base_score=69.5 | setup=current_bot | adaptive=adaptive neutral | trades=3,69.5,,,U-20260506T133454,2026-05-06T13:34:54,,,qualified candidate passed risk checks | symbol=U | final_score=69.5 | base_score=69.5 | setup=current_bot | adaptive=adaptive neutral | trades=3,,current_bot,current_bot,
2026-05-06T17:54:52,U,sell,370.457438934,27.14,rotation into AMD,,45.714818421894975,0.004567599348829999,U-20260506T133454,2026-05-06T13:34:54,2026-05-06T17:54:52,259.97,qualified candidate passed risk checks | symbol=U | final_score=69.5 | base_score=69.5 | setup=current_bot | adaptive=adaptive neutral | trades=3,rotation into AMD,current_bot,current_bot,
2026-05-06T17:54:54,AMD,buy,21,415.35,current_bot entry | score=71.0,71.0,,,AMD-20260506T175454,2026-05-06T17:54:54,,,current_bot entry | score=71.0,,current_bot,current_bot,
2026-05-07T13:32:17,AMD,sell,20.997472315,414.985,rotation into NVDA,,-8.713951010724236,-0.0009990370727009236,AMD-20260506T175454,2026-05-06T17:54:54,2026-05-07T13:32:17,1177.38,current_bot entry | score=71.0,rotation into NVDA,current_bot,current_bot,
2026-05-07T13:59:45,ORCL,sell,57.015588251,195.36,trailing stop,,714.40532078503,0.06853361045780233,ORCL-20260505T170708,2026-05-05T17:07:08,2026-05-07T13:59:45,2692.62,qualified candidate passed risk checks | symbol=ORCL | final_score=69.5 | base_score=69.5 | setup=current_bot | adaptive=adaptive neutral | trades=3,trailing stop,current_bot,current_bot,
2026-05-07T14:00:22,NVDA,buy,72,209.17,qualified candidate passed risk checks | symbol=NVDA | final_score=70.44 | base_score=70.44 | setup=momentum | adaptive=adaptive neutral | trades=6,70.44,,,NVDA-20260507T140022,2026-05-07T14:00:22,,,qualified candidate passed risk checks | symbol=NVDA | final_score=70.44 | base_score=70.44 | setup=momentum | adaptive=adaptive neutral | trades=6,,current_bot,momentum,
2026-05-08T17:43:13,AMD,buy,19,447.0,qualified candidate passed risk checks | symbol=AMD | final_score=74.0 | base_score=74.0 | setup=momentum | adaptive=adaptive neutral | trades=6,74.0,,,AMD-20260508T174313,2026-05-08T17:43:13,,,qualified candidate passed risk checks | symbol=AMD | final_score=74.0 | base_score=74.0 | setup=momentum | adaptive=adaptive neutral | trades=6,,current_bot,momentum,
2026-05-08T17:48:56,AMD,sell,18.994632793,446.465,rotation into RKLB,,-12.561264633808126,-0.0014790138516252377,AMD-20260508T174313,2026-05-08T17:43:13,2026-05-08T17:48:56,5.72,qualified candidate passed risk checks | symbol=AMD | final_score=74.0 | base_score=74.0 | setup=momentum | adaptive=adaptive neutral | trades=6,rotation into RKLB,current_bot,current_bot,
